Datetime,Open,High,Low,Close,Volume,Rsi,Tkr Buy,Tkr Sell,Open Interest,Number Of Trades,Taker Buy Volume,TT LongShortRatio Positions 5m,TT LongAccount Ratio Positions 5m,TT ShortAccount Positions 5m,TT LongShortRatio Accounts 5m,TT LongAccount Accounts 5m,TT ShortAccount Accounts 5m,Buy Sell Ratio 5m,Buy Vol 5m,Sell Vol 5m,"Mkr plus 0,005","Mkr plus 0,01","Mkr plus 0,015","Mkr plus 0,020","Mkr plus 0,025","Mkr plus 0,030","Mkr plus 0,035","Mkr plus 0,040","Mkr plus 0,045","Mkr plus 0,050","Mkr plus 0,075","Mkr plus 0,1","Mkr plus 0,125","Mkr plus 0,150","Mkr plus 0,175","Mkr plus 0,200","Mkr plus 0,225","Mkr minus 0,005","Mkr minus 0,01","Mkr minus 0,015","Mkr minus 0,020","Mkr minus 0,025","Mkr minus 0,030","Mkr minus 0,035","Mkr minus 0,040","Mkr minus 0,045","Mkr minus 0,050","Mkr minus 0,075","Mkr minus 0,1","Mkr minus 0,125","Mkr minus 0,150","Mkr minus 0,175","Mkr minus 0,200","Mkr minus 0,225"
02/23/2024 06:54:00,2967.19,2967.24,2966.24,2966.24,232.392,57.61,23.413,208.965,888316.587,950,110.927,1.6048,0.6161,0.3839,1.6055,0.6162,0.3838,2.4038,5148.1580,2141.6890,67.481,36.428,59.538,77.309,66.863,130.443,102.440,49.954,62.555,130.126,313.393,454.736,473.822,1044.274,739.387,872.907,487.237,39.260,51.406,79.352,311.574,105.262,101.825,190.317,47.684,146.348,87.067,479.945,539.934,294.926,1104.414,419.264,985.138,615.884
02/23/2024 06:55:00,2966.24,2969.82,2966.24,2967.84,439.351,62.75,232.295,195.337,888083.783,2947,949.489,1.6048,0.6161,0.3839,1.6055,0.6162,0.3838,0.7201,1429.4890,1985.0790,14.539,35.177,56.324,58.915,91.166,13.461,142.671,67.011,59.135,59.206,403.319,772.742,493.685,920.342,726.567,547.833,654.456,147.434,58.596,189.360,131.653,254.995,145.812,143.416,89.324,240.563,158.349,457.254,616.027,663.935,458.024,1088.463,745.205,409.138
02/23/2024 06:56:00,2967.84,2967.84,2967.05,2967.40,89.229,60.57,55.346,32.773,888139.713,1012,176.077,1.6048,0.6161,0.3839,1.6055,0.6162,0.3838,0.7201,1429.4890,1985.0790,2.303,15.804,9.229,59.224,124.370,131.740,19.849,83.069,106.184,49.680,292.478,793.196,753.788,371.856,1048.329,847.081,580.746,177.761,105.037,82.670,237.797,67.464,125.091,109.776,336.812,289.415,117.596,531.280,423.447,555.422,548.734,1104.746,769.526,401.591
02/23/2024 06:57:00,2967.50,2967.97,2967.12,2967.52,78.765,60.97,50.924,27.841,888162.303,707,138.373,1.6046,0.6161,0.3839,1.6055,0.6162,0.3838,0.7201,1429.4890,1985.0790,44.197,35.644,67.584,56.605,9.259,72.832,63.793,95.366,165.675,61.191,293.684,829.745,674.740,526.216,959.332,590.496,671.392,135.215,71.684,113.262,297.134,97.570,93.238,81.526,88.577,129.888,64.468,545.923,364.241,530.501,515.341,1006.295,912.984,490.553
02/23/2024 06:58:00,2967.52,2967.52,2965.76,2965.99,176.228,53.56,50.328,93.303,888028.303,949,110.334,1.6046,0.6161,0.3839,1.6055,0.6162,0.3838,0.7201,1429.4890,1985.0790,5.655,14.039,54.690,65.522,47.614,90.913,55.730,171.314,147.182,53.308,368.691,337.370,299.000,1213.433,554.006,816.966,949.842,132.528,101.822,81.986,207.421,416.334,159.452,192.607,137.325,125.230,261.569,425.747,449.600,455.295,1385.040,564.172,694.445,678.822
02/23/2024 06:59:00,2965.99,2966.66,2965.99,2966.14,91.835,54.15,24.771,63.078,888091.047,607,64.301,1.6046,0.6161,0.3839,1.6055,0.6162,0.3838,0.7201,1429.4890,1985.0790,224.696,24.851,61.845,50.117,56.057,180.983,142.761,43.415,64.283,113.740,322.734,312.511,305.734,1187.344,975.968,603.761,790.484,466.354,24.429,108.776,134.321,301.015,182.232,82.879,142.286,50.347,114.942,685.631,446.430,359.202,971.104,280.645,1033.161,702.204
02/23/2024 07:00:00,2966.13,2966.56,2965.41,2965.42,400.710,50.82,26.297,367.845,888293.360,1243,225.177,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.7201,1429.4890,1985.0790,49.296,54.789,67.939,45.368,35.378,218.063,43.066,107.321,89.925,54.614,403.502,274.815,359.015,565.653,1477.472,444.715,1017.092,108.365,57.749,251.732,312.632,134.556,160.278,136.368,77.118,61.056,117.176,622.450,491.412,1037.573,502.154,780.728,815.842,1027.535
02/23/2024 07:01:00,2965.42,2965.42,2963.26,2964.00,341.966,44.95,40.334,283.739,887858.674,2,0.000,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.7201,1429.4890,1985.0790,70.234,46.476,133.182,98.237,135.266,274.794,674.277,67.639,52.422,63.327,371.639,341.645,357.592,871.920,378.267,827.684,1239.566,31.788,35.515,11.690,114.691,149.202,178.447,161.299,108.543,97.707,214.144,749.025,431.696,357.857,1022.159,530.472,720.769,987.946
02/23/2024 07:02:00,2964.00,2964.03,2962.03,2962.61,247.640,40.07,135.658,96.917,887545.211,1701,373.172,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.7201,1429.4890,1985.0790,467.753,144.129,161.407,154.103,256.188,86.135,63.458,70.214,87.506,128.895,381.345,868.788,328.373,481.989,993.501,612.047,699.965,0.067,9.416,13.166,88.206,152.535,169.679,185.260,149.918,61.582,83.429,624.489,550.818,700.319,855.330,741.290,732.639,486.553
02/23/2024 07:03:00,2962.61,2963.98,2961.02,2963.29,444.741,43.31,291.519,110.497,887540.090,2893,1043.478,1.6037,0.6159,0.3841,1.6069,0.6164,0.3836,0.9970,1477.9770,1482.3780,64.812,25.448,79.267,66.048,152.971,135.425,275.959,77.098,102.688,40.497,1025.981,264.797,414.510,905.072,437.744,808.507,631.457,35.644,10.864,34.211,91.358,201.088,264.330,82.898,165.773,103.716,104.012,543.094,466.447,460.392,640.332,533.836,1472.361,747.032
